OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,LINE_NAME,RAIL_SERVICE_NAME,x,y
155,Westwood,Bergen,40.99086,-74.03272,157,System.Byte[],PV,STATIONS,Westwood,PV,YES,Pascack Valley Line,Pascack Valley Line,621114.971527245,786212.478323326
156,Emerson,Bergen,40.97508,-74.02746,42,System.Byte[],PV,STATIONS,Emerson,PV,NO,Pascack Valley Line,Pascack Valley Line,622598.063705411,780470.831013985
157,New Bridge Landing,Bergen,40.91084,-74.03505,111,System.Byte[],PV,STATIONS,River Edge,PV,NO,Pascack Valley Line,Pascack Valley Line,620626.999077994,757057.356515571
158,Edison,Middlesex,40.51915,-74.41097,38,System.Byte[],NE,STATIONS,Edison Twp,NE,YES,Northeast Corridor,Northeast Corridor Line,516874.87817058,614036.110406406
159,Sloatsburg,"Rockland, NY",41.15715,-74.19107,138,System.Byte[],ST,STATIONS,Sloatsburg,ST,NO,Southern Tier,Port Jervis Line,577188.677490246,846600.917257488
160,North Elizabeth,Union,40.68027,-74.20616,110,System.Byte[],NE,STATIONS,Elizabeth,"NE, NC",YES,Northeast Corridor,"Northeast Corridor Line, North Jersey Coast Line",573617.577677079,672853.881878242
161,Otisville,"Orange, NY",41.47176,-74.52923,114,System.Byte[],ST,STATIONS,"Mt Hope, Town Of",ST,NO,Southern Tier,Port Jervis Line,484116.51160083,961073.692904659
162,Monmouth Park,Monmouth,40.31339,-74.01519,RAIL0162,System.Byte[],NC,STATIONS,Oceanport,NC,NO,North Jersey Coast Line,North Jersey Coast Line,627314.568051912,539442.008282572
163,Port Jervis,"Orange, NY",41.37461,-74.69511,124,System.Byte[],ST,STATIONS,Port Jervis,ST,NO,Southern Tier,Port Jervis Line,438579.121048495,925737.584771238
164,Pennsauken Transit Center,Camden,39.97777,-75.06179,RAIL0183,System.Byte[],AC,STATIONS,Pennsauken Twp,AC,YES,Atlantic City Line,Atlantic City Line,334695.835049078,417313.859494738
165,Red Bank,Monmouth,40.34831,-74.07455,131,System.Byte[],NC,STATIONS,Red Bank,NC,YES,North Jersey Coast Line,North Jersey Coast Line,610700.534678996,552076.81076882
